userId	itemId	rating
s3U1003663	P1010902	5.0
s3U1007095	P1028562	5.0
s3U1006480	P1028562	3.0
s3U1004744	P1022063	5.0
s3U1002959	P1023256	4.0
s3U1003773	P1009968	4.0
s3U1005051	P1032315	5.0
s3U1001826	P1008009	5.0
s3U1006686	P1013193	5.0
s3U1007793	P1021364	5.0
s3U1004155	P1014051	1.0
s3U1002242	P1033807	5.0
s3U1000812	P1012181	5.0
s3U1002065	P1009138	4.0
s3U1006664	P1004592	5.0
s3U1005046	P1030955	5.0
s3U1002103	P1012297	5.0
s3U1003470	P1013766	5.0
s3U1004459	P1026878	5.0
s3U1006734	P1003805	5.0
s3U1005700	P1013766	5.0
s3U1007049	P1032016	4.0
s3U1008581	P1009303	4.0
s3U1006199	P1005869	4.0
s3U1008576	P1034028	4.0
s3U1004484	P1014102	5.0
s3U1005667	P1021703	5.0
s3U1008504	P1030291	4.0
s3U1001624	P1004080	4.0
s3U1003346	P1006659	5.0
s3U1003467	P1004241	3.0
s3U1007170	P1002129	4.0
s3U1005609	P1024062	3.0
s3U1006782	P1031268	5.0
s3U1003695	P1026203	4.0
s3U1003103	P1018094	5.0
s3U1002849	P1032538	5.0
s3U1006485	P1007155	2.0
s3U1007362	P1008009	1.0
s3U1000328	P1001555	5.0
s3U1007917	P1013017	1.0
s3U1002185	P1005168	5.0
s3U1002095	P1001599	4.0
s3U1006428	P1014502	5.0
s3U1002417	P1033560	5.0
s3U1001462	P1000266	4.0
s3U1002178	P1011435	5.0
s3U1006911	P1028562	5.0
s3U1007508	P1033042	5.0
s3U1000347	P1017380	4.0
s3U1000963	P1027607	5.0
s3U1003823	P1018216	5.0
s3U1005089	P1000287	5.0
s3U1001810	P1000590	5.0
s3U1000107	P1001569	5.0
s3U1007686	P1020326	2.0
s3U1005055	P1008009	5.0
s3U1005974	P1007415	3.0
s3U1006449	P1032988	5.0
s3U1005549	P1009586	5.0
s3U1008465	P1012566	5.0
s3U1002000	P1014051	5.0
s3U1007016	P1002807	5.0
s3U1006155	P1016853	5.0
s3U1002298	P1034300	4.0
s3U1001210	P1013694	5.0
s3U1004611	P1027747	4.0
s3U1001621	P1033296	4.0
s3U1006407	P1011227	3.0
s3U1000670	P1023006	4.0
s3U1000254	P1008210	3.0
s3U1000809	P1016097	5.0
s3U1000358	P1026094	5.0
s3U1003715	P1026230	5.0
s3U1003589	P1021970	5.0
s3U1005967	P1029023	5.0
s3U1003619	P1001982	3.0
s3U1002026	P1009455	5.0
s3U1002043	P1013766	5.0
s3U1007097	P1008806	5.0
s3U1006513	P1010381	5.0
s3U1006107	P1016698	4.0
s3U1004885	P1031288	5.0
s3U1000746	P1032540	5.0
s3U1004094	P1024393	5.0
s3U1004637	P1028562	5.0
s3U1000316	P1029196	5.0
s3U1001561	P1021570	5.0
s3U1001856	P1013924	4.0
s3U1006091	P1018300	5.0
s3U1002682	P1026107	5.0
s3U1006216	P1008118	5.0
s3U1000258	P1015071	5.0
s3U1007825	P1028562	5.0
s3U1004694	P1028562	4.0
s3U1005877	P1007469	3.0
s3U1005068	P1015302	5.0
s3U1007751	P1027219	5.0
s3U1002200	P1023256	5.0
s3U1000581	P1026749	5.0
s3U1007250	P1027302	5.0
s3U1006054	P1016097	5.0
s3U1005785	P1013193	5.0
s3U1006985	P1029113	5.0
s3U1008272	P1018360	4.0
s3U1006139	P1033807	5.0
s3U1002479	P1006422	5.0
s3U1005014	P1010707	4.0
s3U1004757	P1016046	5.0
s3U1001763	P1015969	5.0
s3U1003737	P1031924	5.0
s3U1008071	P1020784	5.0
s3U1002109	P1012181	5.0
s3U1005549	P1027537	1.0
s3U1000136	P1007983	5.0
s3U1002867	P1027747	5.0
s3U1008171	P1021350	4.0
s3U1003061	P1000481	5.0
s3U1007295	P1027537	5.0
s3U1003719	P1032736	4.0
s3U1001153	P1008009	4.0
s3U1002079	P1009505	5.0
s3U1002844	P1013766	2.0
s3U1007873	P1008650	4.0
s3U1002877	P1000481	4.0
s3U1005252	P1028096	5.0
s3U1007496	P1033734	5.0
s3U1007167	P1002508	5.0
s3U1005490	P1014051	5.0
s3U1005703	P1016097	5.0
s3U1003345	P1015951	5.0
