userId	itemId	rating
s2U1006045	P1034611	1.0
s2U1003192	P1013017	1.0
s2U1014677	P1012181	1.0
s2U1018698	P1014102	1.0
s2U1006320	P1019282	1.0
s2U1016087	P1026874	1.0
s2U1003978	P1029081	1.0
s2U1012900	P1021570	1.0
s2U1013464	P1032230	1.0
s2U1007253	P1013766	1.0
s2U1001819	P1011416	1.0
s2U1017729	P1026077	1.0
s2U1009091	P1024911	1.0
s2U1017169	P1008688	1.0
s2U1012351	P1001599	1.0
s2U1011945	P1013766	1.0
s2U1001606	P1026807	1.0
s2U1006478	P1003943	1.0
s2U1000353	P1011416	1.0
s2U1001948	P1034611	1.0
s2U1013424	P1013471	1.0
s2U1002582	P1009505	1.0
s2U1018204	P1004287	1.0
s2U1011229	P1016083	1.0
s2U1000329	P1014102	1.0
s2U1016843	P1013766	1.0
s2U1006953	P1000481	1.0
s2U1008936	P1019890	1.0
s2U1004371	P1026216	1.0
s2U1012322	P1014785	1.0
s2U1007184	P1011955	1.0
s2U1011859	P1001599	1.0
s2U1017112	P1028080	1.0
s2U1000052	P1006557	1.0
s2U1015961	P1021570	1.0
s2U1016603	P1030955	1.0
s2U1018553	P1012181	1.0
s2U1002348	P1034636	1.0
s2U1007541	P1000481	1.0
s2U1006845	P1034611	1.0
s2U1014290	P1011770	1.0
s2U1011189	P1013667	1.0
s2U1004660	P1033469	1.0
s2U1003843	P1016884	1.0
s2U1011935	P1019890	1.0
s2U1017470	P1017140	1.0
s2U1016581	P1021193	1.0
s2U1004449	P1033589	1.0
s2U1015644	P1030038	1.0
s2U1009367	P1003550	1.0
s2U1004773	P1016853	1.0
s2U1010207	P1003489	1.0
s2U1002082	P1021570	1.0
s2U1011683	P1012181	1.0
s2U1007229	P1013766	1.0
s2U1016821	P1028896	1.0
s2U1015142	P1012180	1.0
s2U1013441	P1018517	1.0
s2U1000052	P1023286	1.0
s2U1008220	P1021719	1.0
s2U1016186	P1014502	1.0
s2U1004078	P1033469	1.0
s2U1017311	P1027433	1.0
s2U1005077	P1002595	1.0
s2U1012830	P1012181	1.0
s2U1004276	P1002046	1.0
s2U1014106	P1033510	1.0
s2U1010257	P1032230	1.0
s2U1004906	P1033469	1.0
s2U1007528	P1003053	1.0
s2U1011411	P1003866	1.0
s2U1001430	P1027665	1.0
s2U1001842	P1014502	1.0
s2U1007963	P1019184	1.0
s2U1000078	P1008339	1.0
s2U1002980	P1008806	1.0
s2U1015449	P1014994	1.0
s2U1004321	P1031924	1.0
s2U1002416	P1008969	1.0
s2U1007159	P1022296	1.0
s2U1015554	P1014994	1.0
s2U1000314	P1017527	1.0
s2U1004295	P1010851	1.0
s2U1000881	P1022132	1.0
s2U1011339	P1034611	1.0
s2U1017500	P1009795	1.0
s2U1017212	P1033469	1.0
s2U1002328	P1007489	1.0
s2U1007864	P1017323	1.0
s2U1003864	P1022872	1.0
s2U1007400	P1027215	1.0
s2U1008954	P1022899	1.0
s2U1000607	P1013766	1.0
s2U1016667	P1014647	1.0
s2U1011516	P1025338	1.0
s2U1008900	P1017140	1.0
s2U1006751	P1019890	1.0
s2U1009920	P1027537	1.0
s2U1001565	P1005192	1.0
s2U1018356	P1013766	1.0
s2U1012682	P1023969	1.0
s2U1001002	P1031924	1.0
s2U1015130	P1005471	1.0
s2U1004897	P1028019	1.0
s2U1002753	P1002807	1.0
s2U1003282	P1030955	1.0
s2U1008396	P1033469	1.0
s2U1013343	P1019711	1.0
s2U1012608	P1032705	1.0
s2U1005360	P1001482	1.0
s2U1005043	P1018818	1.0
s2U1016095	P1032687	1.0
s2U1004782	P1013631	1.0
s2U1011748	P1014102	1.0
s2U1004275	P1027194	1.0
s2U1015868	P1011331	1.0
s2U1008881	P1005919	1.0
s2U1015824	P1021206	1.0
s2U1003891	P1013471	1.0
s2U1016155	P1012653	1.0
s2U1013449	P1031924	1.0
s2U1012170	P1016948	1.0
s2U1013752	P1031924	1.0
s2U1014440	P1016949	1.0
s2U1015469	P1027741	1.0
s2U1017763	P1000023	1.0
s2U1017714	P1021570	1.0
s2U1007437	P1012181	1.0
s2U1014153	P1002303	1.0
s2U1018714	P1018394	1.0
s2U1015862	P1012566	1.0
s2U1017488	P1000590	1.0
s2U1003081	P1019282	1.0
s2U1002754	P1005919	1.0
s2U1003152	P1014785	1.0
s2U1010743	P1028896	1.0
s2U1002346	P1005973	1.0
s2U1012617	P1013631	1.0
s2U1011599	P1014416	1.0
s2U1006175	P1008394	1.0
s2U1013611	P1014102	1.0
s2U1002967	P1030038	1.0
s2U1009220	P1001705	1.0
s2U1010977	P1002504	1.0
s2U1011932	P1024031	1.0
s2U1015420	P1030038	1.0
s2U1007626	P1034611	1.0
s2U1000730	P1008806	1.0
s2U1011285	P1017775	1.0
s2U1006441	P1005471	1.0
s2U1012350	P1006972	1.0
s2U1008441	P1033133	1.0
s2U1010835	P1014102	1.0
s2U1001995	P1009219	1.0
s2U1005722	P1027539	1.0
s2U1011936	P1021719	1.0
s2U1017547	P1002862	1.0
s2U1003857	P1018434	1.0
s2U1005643	P1031288	1.0
s2U1011115	P1012181	1.0
s2U1009600	P1022766	1.0
s2U1012185	P1021721	1.0
s2U1018632	P1034611	1.0
s2U1015459	P1014102	1.0
s2U1010599	P1007983	1.0
s2U1001842	P1027585	1.0
s2U1016672	P1025740	1.0
s2U1013031	P1009542	1.0
s2U1010883	P1002862	1.0
s2U1015730	P1018865	1.0
s2U1004837	P1018300	1.0
s2U1001245	P1031924	1.0
s2U1017191	P1011664	1.0
s2U1008378	P1031288	1.0
s2U1002785	P1016949	1.0
s2U1006658	P1015484	1.0
s2U1006705	P1000590	1.0
s2U1009657	P1029113	1.0
s2U1009766	P1027219	1.0
s2U1009918	P1018735	1.0
s2U1010278	P1028864	1.0
s2U1000779	P1010381	1.0
s2U1009481	P1031924	1.0
s2U1010275	P1031268	1.0
s2U1007060	P1004573	1.0
s2U1008860	P1027302	1.0
s2U1017563	P1009219	1.0
s2U1005949	P1000801	1.0
s2U1015242	P1008806	1.0
s2U1001743	P1013766	1.0
s2U1012263	P1012181	1.0
s2U1008587	P1012765	1.0
s2U1015372	P1013631	1.0
s2U1010887	P1012631	1.0
s2U1003487	P1000601	1.0
s2U1016762	P1019245	1.0
s2U1002096	P1001830	1.0
s2U1005148	P1000049	1.0
s2U1003923	P1016949	1.0
s2U1007954	P1031616	1.0
s2U1000489	P1013766	1.0
s2U1018300	P1018155	1.0
s2U1016173	P1031858	1.0
s2U1004883	P1029127	1.0
s2U1004948	P1003573	1.0
s2U1011454	P1033469	1.0
s2U1008702	P1000942	1.0
s2U1003575	P1031924	1.0
s2U1011185	P1005919	1.0
s2U1013292	P1018768	1.0
s2U1012556	P1019856	1.0
s2U1012506	P1000316	1.0
s2U1002416	P1022517	1.0
s2U1012236	P1000590	1.0
s2U1008018	P1034636	1.0
s2U1011184	P1025376	1.0
s2U1002601	P1027665	1.0
s2U1011787	P1033469	1.0
s2U1017566	P1001029	1.0
s2U1011420	P1025338	1.0
s2U1014360	P1008269	1.0
s2U1003329	P1033071	1.0
s2U1005358	P1024040	1.0
s2U1009367	P1033133	1.0
s2U1007229	P1031288	1.0
s2U1018695	P1033845	1.0
s2U1018393	P1019005	1.0
s2U1016543	P1006048	1.0
s2U1000903	P1031288	1.0
s2U1002981	P1010979	1.0
s2U1012506	P1013126	1.0
s2U1010375	P1034611	1.0
s2U1007161	P1027741	1.0
s2U1015505	P1014102	1.0
s2U1000519	P1020853	1.0
s2U1008225	P1021983	1.0
s2U1001873	P1031288	1.0
s2U1003153	P1009968	1.0
s2U1012057	P1020702	1.0
s2U1010600	P1010559	1.0
s2U1000428	P1033404	1.0
s2U1018474	P1012653	1.0
s2U1013481	P1013631	1.0
s2U1006126	P1017538	1.0
s2U1009788	P1001860	1.0
s2U1005452	P1005664	1.0
s2U1010488	P1012181	1.0
s2U1016672	P1003866	1.0
s2U1012210	P1028896	1.0
s2U1010320	P1004870	1.0
s2U1007634	P1034309	1.0
s2U1015581	P1017141	1.0
s2U1008362	P1013766	1.0
s2U1011960	P1012402	1.0
s2U1013331	P1025635	1.0
s2U1004743	P1019026	1.0
s2U1012534	P1006781	1.0
s2U1003212	P1033426	1.0
s2U1014137	P1033027	1.0
s2U1015342	P1032597	1.0
s2U1012031	P1013766	1.0
s2U1000559	P1024082	1.0
s2U1002643	P1001561	1.0
s2U1014655	P1014102	1.0
s2U1008788	P1015107	1.0
s2U1007944	P1026274	1.0
s2U1018594	P1030120	1.0
s2U1010454	P1032460	1.0
s2U1009789	P1009219	1.0
s2U1007932	P1021570	1.0
s2U1007093	P1031288	1.0
s2U1016116	P1021570	1.0
s2U1017970	P1008800	1.0
s2U1005160	P1004478	1.0
s2U1002666	P1032597	1.0
s2U1011757	P1016599	1.0
s2U1010655	P1003325	1.0
s2U1005845	P1014117	1.0
s2U1018765	P1010381	1.0
s2U1001135	P1004381	1.0
s2U1006226	P1012181	1.0
s2U1013655	P1013414	1.0
s2U1009686	P1033612	1.0
s2U1012330	P1022108	1.0
s2U1016051	P1003506	1.0
s2U1006091	P1020880	1.0
s2U1002785	P1029031	1.0
s2U1014497	P1019605	1.0
s2U1005569	P1023121	1.0
s2U1017877	P1014102	1.0
s2U1009318	P1016472	1.0
s2U1001801	P1006781	1.0
s2U1014809	P1034636	1.0
s2U1017417	P1011476	1.0
s2U1006597	P1004576	1.0
s2U1005755	P1027007	1.0
s2U1011837	P1034611	1.0
s2U1008184	P1034057	1.0
s2U1014061	P1020361	1.0
s2U1002476	P1031616	1.0
s2U1006774	P1029064	1.0
s2U1005077	P1029113	1.0
s2U1014608	P1013766	1.0
s2U1009132	P1015164	1.0
s2U1017577	P1021570	1.0
s2U1001308	P1014623	1.0
s2U1006916	P1032597	1.0
s2U1006013	P1009219	1.0
s2U1006852	P1028229	1.0
s2U1009958	P1027215	1.0
s2U1017581	P1013631	1.0
s2U1005890	P1021965	1.0
s2U1002920	P1008826	1.0
s2U1016380	P1014102	1.0
s2U1000283	P1014102	1.0
s2U1008976	P1030120	1.0
s2U1006990	P1019890	1.0
s2U1018121	P1032687	1.0
s2U1003282	P1030643	1.0
s2U1008965	P1019909	1.0
s2U1016751	P1030120	1.0
s2U1013157	P1034611	1.0
s2U1003697	P1007957	1.0
s2U1003938	P1006867	1.0
s2U1012765	P1021811	1.0
s2U1005706	P1027356	1.0
s2U1014761	P1002904	1.0
s2U1008025	P1019890	1.0
s2U1009823	P1012566	1.0
s2U1011581	P1014502	1.0
s2U1011209	P1001785	1.0
s2U1018121	P1031819	1.0
