userId	itemId	rating
t1U1007418	P1012632	1.0
t1U1005548	P1027537	1.0
t1U1002792	P1008806	1.0
t1U1007846	P1008776	1.0
t1U1009113	P1026544	1.0
t1U1006112	P1034611	1.0
t1U1004231	P1027433	1.0
t1U1004410	P1025338	1.0
t1U1009659	P1027302	1.0
t1U1001476	P1014102	1.0
t1U1001034	P1009968	1.0
t1U1005319	P1007983	1.0
t1U1001161	P1034355	1.0
t1U1007330	P1032414	1.0
t1U1005339	P1033807	1.0
t1U1003165	P1005002	1.0
t1U1003256	P1000080	1.0
t1U1008683	P1026878	1.0
t1U1004170	P1022818	1.0
t1U1001719	P1013766	1.0
t1U1001981	P1032736	1.0
t1U1002120	P1020906	1.0
t1U1002234	P1032687	1.0
t1U1009113	P1016853	1.0
t1U1000336	P1029407	1.0
t1U1006803	P1021728	1.0
t1U1002612	P1023522	1.0
t1U1002875	P1000496	1.0
t1U1007117	P1017627	1.0
t1U1007571	P1025143	1.0
t1U1009114	P1012765	1.0
t1U1006594	P1016853	1.0
t1U1002979	P1021570	1.0
t1U1007767	P1028229	1.0
t1U1001113	P1000481	1.0
t1U1000896	P1025828	1.0
t1U1000116	P1012566	1.0
t1U1007955	P1027495	1.0
t1U1000355	P1006891	1.0
t1U1005406	P1000691	1.0
t1U1008513	P1015781	1.0
t1U1008623	P1019867	1.0
t1U1003856	P1023091	1.0
t1U1009014	P1033469	1.0
t1U1001992	P1016949	1.0
t1U1002920	P1000590	1.0
t1U1006296	P1034355	1.0
t1U1009274	P1003709	1.0
t1U1009536	P1013017	1.0
t1U1003058	P1019679	1.0
t1U1002155	P1030120	1.0
t1U1007643	P1000590	1.0
t1U1002854	P1034611	1.0
t1U1007968	P1009968	1.0
t1U1008131	P1006781	1.0
t1U1000491	P1009219	1.0
t1U1005187	P1000590	1.0
t1U1000713	P1004032	1.0
t1U1002914	P1009969	1.0
t1U1002685	P1004573	1.0
t1U1000965	P1033700	1.0
t1U1008871	P1014102	1.0
t1U1002163	P1014278	1.0
t1U1005284	P1016949	1.0
t1U1005534	P1033042	1.0
t1U1001711	P1032261	1.0
t1U1004655	P1016949	1.0
t1U1001789	P1001830	1.0
t1U1000574	P1016853	1.0
t1U1009048	P1018356	1.0
t1U1002914	P1030913	1.0
t1U1001804	P1000519	1.0
t1U1001181	P1025828	1.0
t1U1000884	P1032687	1.0
t1U1002641	P1018934	1.0
t1U1008112	P1011533	1.0
t1U1003816	P1021002	1.0
t1U1006353	P1034611	1.0
